"cell_id","sample_id","condition","truth_cell_type","truth_qc_class","doublet_source_1","doublet_source_2"
"BC0150-1","S3","stimulated","B","high_quality",,
"BC0151-1","S3","stimulated","CD8 T","high_quality",,
"BC0152-1","S4","stimulated","NK","high_quality",,
"BC0153-1","S1","control","CD8 T","high_quality",,
"BC0154-1","S1","control","CD4 T","high_quality",,
"BC0155-1","S1","control","CD8 T","high_quality",,
"BC0156-1","S1","control","Monocyte","low_quality",,
"BC0157-1","S3","stimulated","NK","ambient_high",,
"BC0158-1","S3","stimulated","CD8 T","high_quality",,
"BC0159-1","S1","control","B","high_quality",,
"BC0160-1","S3","stimulated","B","low_quality",,
"BC0161-1","S4","stimulated","B","high_quality",,
"BC0162-1","S3","stimulated","CD8 T","high_quality",,
"BC0163-1","S4","stimulated","CD8 T","high_quality",,
"BC0164-1","S4","stimulated","CD4 T","high_quality",,
"BC0165-1","S2","control","CD4 T","ambient_high",,
"BC0166-1","S2","control","NK","stressed",,
"BC0167-1","S3","stimulated","B","high_quality",,
"BC0168-1","S2","control","NK","high_quality",,
"BC0169-1","S3","stimulated","B","low_quality",,
"BC0170-1","S1","control","Monocyte","high_quality",,
"BC0171-1","S1","control","CD4 T","high_quality",,
"BC0172-1","S3","stimulated","CD8 T","high_quality",,
"BC0173-1","S4","stimulated","CD4 T","ambient_high",,
"BC0174-1","S1","control","NK","high_quality",,
"BC0175-1","S1","control","CD4 T","stressed",,
"BC0176-1","S1","control","CD4 T","high_quality",,
"BC0177-1","S4","stimulated","NK","high_quality",,
"BC0178-1","S3","stimulated","NK","high_quality",,
"BC0179-1","S3","stimulated","CD4 T","high_quality",,
"BC0180-1","S3","stimulated","Monocyte","stressed",,
"BC0181-1","S1","control","CD8 T","high_quality",,
"BC0182-1","S2","control","Monocyte","high_quality",,
"BC0183-1","S4","stimulated","CD4 T","high_quality",,
"BC0184-1","S1","control","B","high_quality",,
"BC0185-1","S1","control","B","high_quality",,
"BC0186-1","S1","control","CD8 T","high_quality",,
"BC0187-1","S3","stimulated","Monocyte","high_quality",,
"BC0188-1","S4","stimulated","CD4 T","high_quality",,
"BC0189-1","S4","stimulated","CD8 T","high_quality",,
"BC0190-1","S2","control","CD8 T","high_quality",,
"BC0191-1","S3","stimulated","CD4 T","high_quality",,
"BC0192-1","S3","stimulated","NK","high_quality",,
"BC0193-1","S3","stimulated","Monocyte","high_quality",,
"BC0194-1","S2","control","Monocyte","high_quality",,
"BC0195-1","S3","stimulated","CD4 T","high_quality",,
"BC0196-1","S2","control","B","ambient_high",,
"BC0197-1","S1","control","CD8 T","high_quality",,
"BC0198-1","S4","stimulated","CD4 T","high_quality",,
"BC0199-1","S1","control","CD4 T","high_quality",,
"BC0200-1","S3","stimulated","Monocyte","high_quality",,
"BC0201-1","S2","control","B","high_quality",,
"BC0202-1","S2","control","NK","high_quality",,
"BC0203-1","S2","control","B","high_quality",,
"BC0204-1","S2","control","CD8 T","high_quality",,
"BC0205-1","S1","control","NK","stressed",,
"BC0206-1","S1","control","CD8 T","ambient_high",,
"BC0207-1","S4","stimulated","Monocyte","high_quality",,
"BC0208-1","S3","stimulated","CD8 T","low_quality",,
"BC0209-1","S3","stimulated","B","stressed",,
"BC0210-1","S3","stimulated","CD4 T","high_quality",,
"BC0211-1","S1","control","Monocyte","high_quality",,
"BC0212-1","S3","stimulated","CD8 T","high_quality",,
"BC0213-1","S3","stimulated","B","high_quality",,
"BC0214-1","S1","control","CD8 T","high_quality",,
"BC0215-1","S1","control","Monocyte","high_quality",,
"BC0216-1","S1","control","Monocyte","high_quality",,
"BC0217-1","S4","stimulated","Monocyte","high_quality",,
"BC0218-1","S1","control","B","high_quality",,
"BC0219-1","S2","control","NK","ambient_high",,
"BC0220-1","S3","stimulated","CD8 T","high_quality",,
"BC0221-1","S3","stimulated","CD4 T","high_quality",,
"BC0222-1","S4","stimulated","CD8 T","high_quality",,
"BC0223-1","S3","stimulated","NK","low_quality",,
"BC0224-1","S4","stimulated","NK","low_quality",,
"BC0225-1","S3","stimulated","NK","high_quality",,
"BC0226-1","S4","stimulated","CD8 T","low_quality",,
"BC0227-1","S1","control","CD8 T","ambient_high",,
"BC0228-1","S3","stimulated","NK","ambient_high",,
"BC0229-1","S1","control","CD4 T","stressed",,
"BC0230-1","S1","control","CD8 T","high_quality",,
"BC0231-1","S2","control","Monocyte","high_quality",,
"BC0232-1","S4","stimulated","Monocyte","high_quality",,
"BC0233-1","S4","stimulated","CD8 T","high_quality",,
"BC0234-1","S4","stimulated","NK","high_quality",,
"BC0235-1","S1","control","CD4 T","ambient_high",,
"BC0236-1","S1","control","NK","ambient_high",,
"BC0237-1","S2","control","Monocyte","ambient_high",,
"BC0238-1","S1","control","Monocyte","high_quality",,
"BC0239-1","S2","control","B","high_quality",,
"BC0240-1","S2","control","CD4 T","high_quality",,
"BC0241-1","S2","control","CD8 T","high_quality",,
"BC0242-1","S2","control","CD4 T","high_quality",,
"BC0243-1","S4","stimulated","CD4 T","high_quality",,
"BC0244-1","S1","control","B","high_quality",,
"BC0245-1","S3","stimulated","CD8 T","high_quality",,
"BC0246-1","S4","stimulated","NK","stressed",,
"BC0247-1","S4","stimulated","CD4 T","high_quality",,
"BC0248-1","S1","control","CD8 T","low_quality",,
"BC0249-1","S4","stimulated","NK","high_quality",,
"BC0250-1","S1","control","B","high_quality",,
"BC0251-1","S1","control","CD4 T","ambient_high",,
"BC0252-1","S4","stimulated","CD4 T","ambient_high",,
"BC0253-1","S4","stimulated","Monocyte","high_quality",,
"BC0254-1","S4","stimulated","CD4 T","high_quality",,
"BC0255-1","S1","control","B","high_quality",,
"BC0256-1","S4","stimulated","CD8 T","high_quality",,
"BC0257-1","S2","control","CD4 T","high_quality",,
"BC0258-1","S4","stimulated","CD4 T","high_quality",,
"BC0259-1","S1","control","Monocyte","high_quality",,
"BC0260-1","S3","stimulated","CD4 T","high_quality",,
"BC0261-1","S2","control","CD4 T","high_quality",,
"BC0262-1","S1","control","B","high_quality",,
"BC0263-1","S3","stimulated","NK","ambient_high",,
"BC0264-1","S2","control","CD4 T","high_quality",,
"BC0265-1","S1","control","Monocyte","high_quality",,
"BC0266-1","S3","stimulated","B","ambient_high",,
"BC0267-1","S4","stimulated","NK","high_quality",,
"BC0268-1","S3","stimulated","Monocyte","high_quality",,
"BC0269-1","S4","stimulated","B","high_quality",,
"BC0270-1","S3","stimulated","B","high_quality",,
"BC0271-1","S2","control","B","high_quality",,
"BC0272-1","S2","control","CD4 T","high_quality",,
"BC0273-1","S3","stimulated","B","high_quality",,
"BC0274-1","S2","control","Monocyte","high_quality",,
"BC0275-1","S2","control","CD8 T","high_quality",,
"BC0276-1","S1","control","Monocyte","stressed",,
"BC0277-1","S1","control","NK","high_quality",,
"BC0278-1","S3","stimulated","Monocyte","low_quality",,
"BC0279-1","S1","control","CD8 T","high_quality",,
"BC0280-1","S4","stimulated","NK","high_quality",,
"BC0281-1","S4","stimulated","Monocyte","high_quality",,
"BC0282-1","S2","control","CD8 T","high_quality",,
"BC0283-1","S2","control","B","high_quality",,
"BC0284-1","S1","control","B","high_quality",,
"BC0285-1","S4","stimulated","CD8 T","high_quality",,
"BC0286-1","S1","control","NK","high_quality",,
"BC0287-1","S1","control","B","high_quality",,
"BC0288-1","S2","control","B","high_quality",,
"BC0289-1","S4","stimulated","CD4 T","high_quality",,
"BC0290-1","S1","control","NK","high_quality",,
"BC0291-1","S2","control","CD8 T","high_quality",,
"BC0292-1","S2","control","B","low_quality",,
"BC0293-1","S1","control","B","high_quality",,
"BC0294-1","S4","stimulated","CD4 T","high_quality",,
"BC0295-1","S3","stimulated","CD4 T","high_quality",,
"BC0296-1","S3","stimulated","B","high_quality",,
"BC0297-1","S1","control","B","high_quality",,
"BC0298-1","S4","stimulated","CD8 T","high_quality",,
"BC0299-1","S3","stimulated","CD4 T","high_quality",,
"BC0300-1","S1","control","B","low_quality",,
"BC0301-1","S4","stimulated","Monocyte","high_quality",,
"BC0302-1","S2","control","CD4 T","high_quality",,
"BC0303-1","S3","stimulated","CD8 T","high_quality",,
"BC0304-1","S2","control","Monocyte","high_quality",,
"BC0305-1","S4","stimulated","CD8 T","high_quality",,
"BC0306-1","S4","stimulated","CD8 T","high_quality",,
"BC0307-1","S2","control","CD8 T","high_quality",,
"BC0308-1","S4","stimulated","Monocyte","high_quality",,
"BC0309-1","S1","control","Monocyte","high_quality",,
"BC0310-1","S4","stimulated","NK","low_quality",,
"BC0311-1","S2","control","CD8 T","high_quality",,
"BC0312-1","S1","control","CD8 T","high_quality",,
"BC0313-1","S1","control","B","high_quality",,
"BC0314-1","S3","stimulated","CD4 T","low_quality",,
"BC0315-1","S3","stimulated","CD4 T","high_quality",,
"BC0316-1","S1","control","CD4 T","high_quality",,
"BC0317-1","S2","control","B","ambient_high",,
"BC0318-1","S3","stimulated","CD4 T","high_quality",,
"BC0319-1","S3","stimulated","CD4 T","high_quality",,
"BC0320-1","S1","control","CD4 T","high_quality",,
"BC0321-1","S3","stimulated","CD4 T","high_quality",,
"BC0322-1","S1","control","B","high_quality",,
"BC0323-1","S3","stimulated","CD8 T","high_quality",,
"BC0324-1","S1","control","CD4 T","high_quality",,
"BC0325-1","S2","control","CD4 T","low_quality",,
"BC0326-1","S2","control","NK","high_quality",,
"BC0327-1","S1","control","NK","high_quality",,
"BC0328-1","S2","control","CD8 T","stressed",,
"BC0329-1","S1","control","CD8 T","low_quality",,
"BC0330-1","S3","stimulated","CD8 T","high_quality",,
"BC0331-1","S2","control","CD8 T","high_quality",,
"BC0332-1","S1","control","B","high_quality",,
"BC0333-1","S1","control","CD8 T","high_quality",,
"BC0334-1","S1","control","Monocyte","high_quality",,
"BC0335-1","S4","stimulated","CD4 T","low_quality",,
"BC0336-1","S1","control","Monocyte","high_quality",,
"BC0337-1","S1","control","CD4 T","high_quality",,
"BC0338-1","S4","stimulated","NK","high_quality",,
"BC0339-1","S4","stimulated","B","low_quality",,
"BC0340-1","S3","stimulated","CD8 T","high_quality",,
"BC0341-1","S3","stimulated","CD8 T","high_quality",,
"BC0342-1","S3","stimulated","NK","high_quality",,
"BC0343-1","S1","control","Monocyte","ambient_high",,
"BC0344-1","S4","stimulated","CD8 T","high_quality",,
"BC0345-1","S1","control","NK","high_quality",,
"BC0346-1","S2","control","CD4 T","low_quality",,
"BC0347-1","S4","stimulated","Monocyte","low_quality",,
"BC0348-1","S4","stimulated","Monocyte","high_quality",,
"BC0349-1","S3","stimulated","NK","stressed",,
"BC0350-1","S4","stimulated","B","high_quality",,
"BC0351-1","S2","control","B","high_quality",,
"BC0352-1","S4","stimulated","CD4 T","high_quality",,
"BC0353-1","S1","control","CD8 T","high_quality",,
"BC0354-1","S2","control","CD8 T","high_quality",,
"BC0355-1","S1","control","Monocyte","low_quality",,
"BC0356-1","S4","stimulated","NK","high_quality",,
"BC0357-1","S2","control","B","high_quality",,
"BC0358-1","S2","control","NK","high_quality",,
"BC0359-1","S3","stimulated","CD8 T","high_quality",,
"BC0360-1","S3","stimulated","CD8 T","high_quality",,
"BC0361-1","S3","stimulated","CD8 T","ambient_high",,
"BC0362-1","S2","control","NK","stressed",,
"BC0363-1","S2","control","CD4 T","high_quality",,
"BC0364-1","S1","control","CD4 T","high_quality",,
"BC0365-1","S1","control","CD4 T","high_quality",,
"BC0366-1","S2","control","NK","high_quality",,
"BC0367-1","S2","control","NK","high_quality",,
"BC0368-1","S1","control","B","ambient_high",,
"BC0369-1","S3","stimulated","CD4 T","high_quality",,
"BC0370-1","S3","stimulated","CD8 T","stressed",,
"BC0371-1","S2","control","NK","high_quality",,
"BC0372-1","S3","stimulated","Monocyte","stressed",,
"BC0373-1","S2","control","Monocyte","high_quality",,
"BC0374-1","S3","stimulated","CD4 T","high_quality",,
"BC0375-1","S4","stimulated","CD8 T","high_quality",,
"BC0376-1","S4","stimulated","B","high_quality",,
"BC0377-1","S1","control","B","high_quality",,
"BC0378-1","S2","control","NK","high_quality",,
"BC0379-1","S3","stimulated","NK","high_quality",,
"BC0380-1","S3","stimulated","CD8 T","high_quality",,
"BC0381-1","S2","control","B","high_quality",,
"BC0382-1","S1","control","CD4 T","high_quality",,
"BC0383-1","S4","stimulated","CD8 T","high_quality",,
"BC0384-1","S2","control","NK","high_quality",,
"BC0385-1","S4","stimulated","Monocyte","high_quality",,
"BC0386-1","S1","control","CD8 T","high_quality",,
"BC0387-1","S2","control","NK","high_quality",,
"BC0388-1","S3","stimulated","Monocyte","low_quality",,
"BC0389-1","S3","stimulated","CD8 T","high_quality",,
"BC0390-1","S3","stimulated","Monocyte","ambient_high",,
"BC0391-1","S1","control","NK","high_quality",,
"BC0392-1","S2","control","CD8 T","stressed",,
"BC0393-1","S1","control","CD4 T","low_quality",,
"BC0394-1","S3","stimulated","CD8 T","high_quality",,
"BC0395-1","S1","control","CD4 T","high_quality",,
"BC0396-1","S2","control","NK","high_quality",,
"BC0397-1","S1","control","NK","high_quality",,
"BC0398-1","S3","stimulated","CD8 T","low_quality",,
"BC0399-1","S2","control","Monocyte","ambient_high",,
"BC0400-1","S1","control","CD8 T","high_quality",,
"BC0401-1","S4","stimulated","Monocyte","high_quality",,
"BC0402-1","S2","control","CD8 T","high_quality",,
"BC0403-1","S1","control","CD4 T","stressed",,
"BC0404-1","S1","control","CD4 T","stressed",,
"BC0405-1","S3","stimulated","CD8 T","high_quality",,
"BC0406-1","S3","stimulated","CD8 T","high_quality",,
"BC0407-1","S3","stimulated","CD8 T","high_quality",,
"BC0408-1","S1","control","Monocyte","low_quality",,
"BC0409-1","S1","control","B","high_quality",,
"BC0410-1","S4","stimulated","CD8 T","high_quality",,
"BC0411-1","S2","control","Monocyte","high_quality",,
"BC0412-1","S2","control","NK","high_quality",,
"BC0413-1","S2","control","NK","high_quality",,
"BC0414-1","S2","control","B","high_quality",,
"BC0415-1","S1","control","Monocyte","high_quality",,
"BC0416-1","S3","stimulated","CD8 T","high_quality",,
"BC0417-1","S3","stimulated","Monocyte","high_quality",,
"BC0418-1","S3","stimulated","B","high_quality",,
"BC0419-1","S4","stimulated","Monocyte","high_quality",,
"BC0420-1","S4","stimulated","CD4 T","high_quality",,
"BC0421-1","S1","control","B","high_quality",,
"BC0422-1","S2","control","CD4 T","high_quality",,
"BC0423-1","S2","control","Monocyte","low_quality",,
"BC0424-1","S2","control","CD4 T","low_quality",,
"BC0425-1","S1","control","Monocyte","high_quality",,
"BC0426-1","S1","control","Monocyte","stressed",,
"BC0427-1","S3","stimulated","B","high_quality",,
"BC0428-1","S1","control","Monocyte","high_quality",,
"BC0429-1","S3","stimulated","CD8 T","ambient_high",,
"BC0430-1","S4","stimulated","CD4 T","high_quality",,
"BC0431-1","S2","control","CD4 T","high_quality",,
"BC0432-1","S4","stimulated","NK","high_quality",,
"BC0433-1","S4","stimulated","CD4 T","high_quality",,
"BC0434-1","S3","stimulated","Monocyte","ambient_high",,
"BC0435-1","S1","control","B","high_quality",,
"BC0436-1","S1","control","NK","ambient_high",,
"BC0437-1","S1","control","NK","stressed",,
"BC0438-1","S2","control","NK","high_quality",,
"BC0439-1","S1","control","B","stressed",,
"BC0440-1","S3","stimulated","B","high_quality",,
"BC0441-1","S1","control","NK","low_quality",,
"BC0442-1","S4","stimulated","CD4 T","high_quality",,
"BC0443-1","S3","stimulated","Monocyte","high_quality",,
"BC0444-1","S1","control","CD4 T","high_quality",,
"BC0445-1","S4","stimulated","B","high_quality",,
"BC0446-1","S1","control","NK","stressed",,
"BC0447-1","S2","control","B","low_quality",,
"BC0448-1","S2","control","Monocyte","high_quality",,
"BC0449-1","S3","stimulated","CD4 T","low_quality",,
"BC0450-1","S4","stimulated","Monocyte","high_quality",,
"BC0451-1","S1","control","CD4 T","ambient_high",,
"BC0452-1","S3","stimulated","Monocyte","high_quality",,
"BC0453-1","S4","stimulated","NK","high_quality",,
"BC0454-1","S2","control","B","high_quality",,
"BC0455-1","S1","control","CD8 T","high_quality",,
"BC0456-1","S3","stimulated","CD4 T","high_quality",,
"BC0457-1","S1","control","Monocyte","high_quality",,
"BC0458-1","S2","control","Monocyte","high_quality",,
"BC0459-1","S3","stimulated","Monocyte","high_quality",,
"BC0460-1","S3","stimulated","B","high_quality",,
"BC0461-1","S3","stimulated","CD8 T","high_quality",,
"BC0462-1","S2","control","CD4 T","high_quality",,
"BC0463-1","S3","stimulated","CD4 T","high_quality",,
"BC0464-1","S1","control","NK","high_quality",,
"BC0465-1","S3","stimulated","Monocyte","stressed",,
"BC0466-1","S1","control","CD4 T","high_quality",,
"BC0467-1","S2","control","B","high_quality",,
"BC0468-1","S1","control","NK","high_quality",,
"BC0469-1","S4","stimulated","B","high_quality",,
"BC0470-1","S2","control","CD4 T","high_quality",,
"BC0471-1","S1","control","CD4 T","high_quality",,
"BC0472-1","S2","control","Monocyte","high_quality",,
"BC0473-1","S4","stimulated","NK","high_quality",,
"BC0474-1","S1","control","Monocyte","high_quality",,
"BC0475-1","S4","stimulated","CD8 T","stressed",,
"BC0476-1","S4","stimulated","CD4 T","high_quality",,
"BC0477-1","S4","stimulated","B","ambient_high",,
"BC0478-1","S4","stimulated","B","high_quality",,
"BC0479-1","S4","stimulated","Monocyte","high_quality",,
"BC0480-1","S4","stimulated","CD4 T","low_quality",,
"BC0481-1","S4","stimulated","CD4 T","high_quality",,
"BC0482-1","S4","stimulated","CD4 T","high_quality",,
"BC0483-1","S4","stimulated","B","high_quality",,
"BC0484-1","S4","stimulated","CD4 T","ambient_high",,
"BC0485-1","S1","control","CD8 T","high_quality",,
"BC0486-1","S4","stimulated","NK","high_quality",,
"BC0487-1","S1","control","CD4 T","high_quality",,
"BC0488-1","S2","control","CD4 T","high_quality",,
"BC0489-1","S4","stimulated","CD8 T","high_quality",,
"BC0490-1","S2","control","Monocyte","low_quality",,
"BC0491-1","S1","control","CD8 T","ambient_high",,
"BC0492-1","S2","control","CD4 T","high_quality",,
"BC0493-1","S4","stimulated","B","high_quality",,
"BC0494-1","S3","stimulated","NK","stressed",,
"BC0495-1","S4","stimulated","B","ambient_high",,
"BC0496-1","S2","control","CD8 T","high_quality",,
"BC0497-1","S2","control","CD8 T","high_quality",,
"BC0498-1","S1","control","B","high_quality",,
"BC0499-1","S2","control","B","high_quality",,
"BC0500-1","S1","control","CD4 T","high_quality",,
"BC0501-1","S1","control","CD8 T","high_quality",,
"BC0502-1","S1","control","CD4 T","high_quality",,
"BC0503-1","S3","stimulated","CD4 T","high_quality",,
"BC0504-1","S3","stimulated","CD4 T","high_quality",,
"BC0505-1","S3","stimulated","CD4 T","high_quality",,
"BC0506-1","S3","stimulated","CD8 T","high_quality",,
"BC0507-1","S4","stimulated","CD8 T","high_quality",,
"BC0508-1","S1","control","CD4 T","high_quality",,
"BC0509-1","S2","control","B","high_quality",,
"BC0510-1","S4","stimulated","NK","high_quality",,
"BC0511-1","S4","stimulated","Monocyte","high_quality",,
"BC0512-1","S4","stimulated","NK","high_quality",,
"BC0513-1","S1","control","B","high_quality",,
"BC0514-1","S1","control","B","high_quality",,
"BC0515-1","S4","stimulated","B","high_quality",,
"BC0516-1","S4","stimulated","CD4 T","high_quality",,
"BC0517-1","S1","control","CD4 T","low_quality",,
"BC0518-1","S3","stimulated","Monocyte","high_quality",,
"BC0519-1","S4","stimulated","Monocyte","high_quality",,
"BC0520-1","S4","stimulated","CD4 T","high_quality",,
"BC0521-1","S3","stimulated","NK","low_quality",,
"BC0522-1","S3","stimulated","Monocyte","high_quality",,
"BC0523-1","S1","control","CD8 T","high_quality",,
"BC0524-1","S3","stimulated","Monocyte","high_quality",,
"BC0525-1","S2","control","B","high_quality",,
"BC0526-1","S3","stimulated","CD4 T","high_quality",,
"BC0527-1","S2","control","B","high_quality",,
"BC0528-1","S4","stimulated","B","high_quality",,
"BC0529-1","S1","control","CD4 T","high_quality",,
